accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
alsa-card-profiles 1:0.3.59-2
alsa-lib 1.2.7.2-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7.2-1
android-tools 33.0.3-1
android-udev 20220903-1
aom 3.5.0-1
arandr 0.1.10-7
arc-gtk-theme 20220405-1
arch-wiki-cli 0.4-2
archlinux-keyring 20220927-1
arduino 1:1.8.19-2
arduino-builder 1.6.1-2
arduino-ctags 5.8_arduino11-4
argon2 20190702-4
aspnet-runtime 6.0.9.sdk109-1
aspnet-runtime-5.0-bin 5.0.17.sdk408-1
assimp 5.2.5-2
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attr 2.5.1-2
audiofile 0.3.6-7
audit 3.0.8-1
aurutils 10b-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.96-1
base 3-1
bash 5.1.016-1
bat 0.22.1-1
binutils 2.39-3
bison 3.8.2-4
blas 3.10.1-1
blueman 2.3.2-1
bluez 5.65-3
bluez-libs 5.65-3
bluez-utils 5.65-3
boost-libs 1.80.0-2
botan 2.19.2-1
breeze-gtk 5.25.5-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-8
btop 1.2.12-1
btrfs-progs 5.19.1-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.83-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cblas 3.10.1-1
cdparanoia 10.2-8
chromaprint 1.5.1-4
cifs-utils 7.0-1
cinnamon-desktop 5.4.2-1
clang 14.0.6-3
clipmenu 6.2.0-2
clipnotify 1.0.2-2
clutter 1.26.4-2
clutter-gtk 1.8.4-3
cmake 3.24.2-1
code 1.72.0-1
cogl 1.22.8-2
colord 1.4.6-1
colord-sane 1.4.6-1
compiler-rt 14.0.6-1
containerd 1.6.8-1
coreutils 9.1-1
cryptsetup 2.5.0-1
csview 1.0.1-1
curl 7.85.0-2
cython 0.29.32-2
dav1d 1.0.0-1
db 5.3.28-5
dbeaver 22.2.0-1
dbus 1.14.2-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dbvis 14.0-1
